frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,2240339.341808,723321.000000
4,168033752.758419,3478688.000000
8,91027692.745223,2260717.000000
16,167195117.868673,3335163.000000
32,937599.829580,333148.000000
64,88137180.033059,2109878.000000
128,169851264.386319,3538790.000000
256,942571.702859,403712.000000
512,2041398.958005,842805.000000
1024,2163399.026246,495245.000000
2048,87618274.241099,2405035.000000
4096,97803538.294348,2186530.000000
8192,222104322.454067,3380702.000000
16384,9376672.974272,735354.000000
32768,3643188.101711,1111163.000000
65536,196580478.650881,3509349.000000
