checkpoint,arrival_rate,bp_parameter,rmlf_ratio,fcfs_ratio
2,20,"{'L': 16.772, 'H': 64}",11.035043719921372,88.96495628007864
2,20,"{'L': 7.918, 'H': 512}",15.761419607313945,84.23858039268606
2,20,"{'L': 5.649, 'H': 4096}",71.10545005403736,28.894549945962638
2,20,"{'L': 4.639, 'H': 32768}",86.06481481481481,13.935185185185187
2,20,"{'L': 4.073, 'H': 262144}",90.35331113577506,9.646688864224934
2,20,"{'L': 56.3, 'H': 64}",12.54348474306729,87.4565152569327
2,20,"{'L': 18.9, 'H': 512}",18.45783296017369,81.54216703982631
2,20,"{'L': 12.4, 'H': 4096}",73.63650052702906,26.363499472970936
2,20,"{'L': 9.8, 'H': 32768}",79.24995091301787,20.750049086982134
2,20,"{'L': 8.5, 'H': 262144}",72.7037396570055,27.2962603429945
2,20,"{'L': 32.3, 'H': 512}",17.19832957998994,82.80167042001005
2,20,"{'L': 19.7, 'H': 4096}",68.84979767875748,31.15020232124252
2,20,"{'L': 15.3, 'H': 32768}",80.92934122647237,19.070658773527626
2,20,"{'L': 13.0, 'H': 262144}",94.4302605343124,5.56973946568761
2,22,"{'L': 16.772, 'H': 64}",10.451322607035724,89.54867739296427
2,22,"{'L': 7.918, 'H': 512}",17.73514272344408,82.26485727655593
2,22,"{'L': 5.649, 'H': 4096}",82.80959862876732,17.19040137123268
2,22,"{'L': 4.639, 'H': 32768}",86.42089908500199,13.57910091499801
2,22,"{'L': 4.073, 'H': 262144}",87.44957135653051,12.550428643469491
2,22,"{'L': 56.3, 'H': 64}",12.697466467958272,87.30253353204172
2,22,"{'L': 18.9, 'H': 512}",18.14921333107765,81.85078666892235
2,22,"{'L': 12.4, 'H': 4096}",69.31703487720085,30.68296512279915
2,22,"{'L': 9.8, 'H': 32768}",89.25376313547288,10.746236864527123
2,22,"{'L': 8.5, 'H': 262144}",79.9635951505993,20.036404849400693
2,22,"{'L': 32.3, 'H': 512}",17.293941832394527,82.70605816760546
2,22,"{'L': 19.7, 'H': 4096}",78.65185122712322,21.348148772876783
2,22,"{'L': 15.3, 'H': 32768}",76.59529060254677,23.404709397453228
2,22,"{'L': 13.0, 'H': 262144}",79.43096145136799,20.569038548632015
2,24,"{'L': 16.772, 'H': 64}",8.271356085354835,91.72864391464518
2,24,"{'L': 7.918, 'H': 512}",9.128940684297026,90.87105931570298
2,24,"{'L': 5.649, 'H': 4096}",84.4487881157154,15.551211884284596
2,24,"{'L': 4.639, 'H': 32768}",78.85605058079695,21.14394941920306
2,24,"{'L': 4.073, 'H': 262144}",71.5138772077376,28.486122792262403
2,24,"{'L': 56.3, 'H': 64}",12.725098013157021,87.27490198684298
2,24,"{'L': 18.9, 'H': 512}",18.050093148416476,81.94990685158352
2,24,"{'L': 12.4, 'H': 4096}",74.12024870200628,25.87975129799372
2,24,"{'L': 9.8, 'H': 32768}",64.19143356643356,35.80856643356643
2,24,"{'L': 8.5, 'H': 262144}",92.99384554298193,7.006154457018067
2,24,"{'L': 32.3, 'H': 512}",16.879537510083356,83.12046248991665
2,24,"{'L': 19.7, 'H': 4096}",73.58947416510576,26.410525834894237
2,24,"{'L': 15.3, 'H': 32768}",73.51892992687216,26.48107007312783
2,24,"{'L': 13.0, 'H': 262144}",84.54845440151526,15.451545598484737
2,26,"{'L': 16.772, 'H': 64}",7.481545521048082,92.51845447895192
2,26,"{'L': 7.918, 'H': 512}",16.64616052688717,83.35383947311283
2,26,"{'L': 5.649, 'H': 4096}",60.70863433092535,39.291365669074644
2,26,"{'L': 4.639, 'H': 32768}",83.90489913544668,16.095100864553313
2,26,"{'L': 4.073, 'H': 262144}",83.61031518624642,16.389684813753583
2,26,"{'L': 56.3, 'H': 64}",13.013448447617465,86.98655155238254
2,26,"{'L': 18.9, 'H': 512}",15.56921377024274,84.43078622975726
2,26,"{'L': 12.4, 'H': 4096}",69.79159641195118,30.20840358804883
2,26,"{'L': 9.8, 'H': 32768}",27.32234350634885,72.67765649365114
2,26,"{'L': 8.5, 'H': 262144}",69.39759036144578,30.602409638554217
2,26,"{'L': 32.3, 'H': 512}",17.087179073797913,82.91282092620209
2,26,"{'L': 19.7, 'H': 4096}",67.87973273942094,32.12026726057907
